Sample	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00059	Otu00064	Otu00067	Otu00069	Otu00079
3691F2	0.000442229	0.146940581	0.187766342	0	4.02E-05	0.328274503	0.088325159	0.029669534	0.046192812	0.002392056	0.013085953	0.000643242	0.000542735	0	2.01E-05	0.000221114	0.081189194	0	0	2.01E-05	0.002593069	0.000402026	8.04E-05	0	0.021890327	0.001849321	0.008904881	0.009769237	0.000140709	0	0	2.01E-05	0.000341722	0.000783951	2.01E-05	0.002170942	4.02E-05	0.002291549	6.03E-05	0	0.010010453	4.02E-05	0.000120608	0.003658439	0	2.01E-05	0	0	8.04E-05	0.000261317	0	4.02E-05	0	0	4.02E-05	0	0
3691F3	0.000196249	0.023970394	0.123861056	2.80E-05	0	0.395385349	0.157896212	0.053575934	0.048080967	0.011746895	0.055258067	0.000364462	0.00384087	0	0	0.00201856	5.61E-05	0	0	0	0.007906025	0.001794275	8.41E-05	0	0.032717486	5.61E-05	0.020830413	0.018615605	0.000280355	0	0.000112142	0	0.000392498	0.008915305	0	0.007541563	0.001654097	0.000420533	2.80E-05	0	0.000168213	0	0	0.000140178	0	5.61E-05	0	0.000168213	0	0.004625866	0	0	0	0	0	0	0
U1240B	0.951085016	0.016543024	0.000198358	0	0	0	0.00130916	0.000238029	0	0	0.000634744	0.002142262	0	0.001348832	0	0.002380291	0.000198358	3.97E-05	0	0.008807077	0.000277701	0.001229817	0.000952116	3.97E-05	0	0	0	0	0	0.000158686	0.000119015	3.97E-05	0.000119015	0.000396715	0	7.93E-05	3.97E-05	0.001586861	0.000555401	0	0.000634744	3.97E-05	0.000277701	0.000317372	0	0	0	0.000833102	0	0.000198358	0	0	0	0	0	0	0
5005UB	0.005605245	0.975531889	0.000536154	9.75E-05	0	0	0.000170594	0	0	0	0	0.000536154	0	0	0	0.000658007	0.000584895	0	0	0.000146224	0.000121853	0.000146224	0.000243706	0	0	0	0	0	0	0.012867692	2.44E-05	0	0.000828601	0	0	0	0	0	0.000316818	0	0.000243706	0	4.87E-05	0.000292448	0	0	0	0	0	0	0	0	0	0	0	0	0
S58881	0.000537731	0.003943359	0	0.000448109	0.000179244	0	0.015863058	0	0	0	0.002957519	0.013801757	0	0	0	0.018999821	0.010037641	0	0.715540419	8.96E-05	0.005108442	0.013891378	0.025631834	0.002419788	0	0.000627353	0	0	0	0	0	0.000627353	0.000806596	0.003316006	0	0.000716974	0.000358487	0	0.003136763	0	0.026528052	0	0.002688654	0.012726295	0	0.000268865	0.000358487	0	0	0	0.018999821	0.004391468	0.001075462	0	0.004660333	0.003316006	0.002599032
S58882	0.035267349	0.001137656	0	0	0.000568828	0	0.020477816	0	0	0	0.001137656	0.056882821	0	0	0	0.043799772	0.006825939	0.000568828	0.36632537	0	0.011376564	0.013083049	0.060295791	0	0	0	0	0	0	0	0.002275313	0	0.002275313	0.02559727	0	0.002844141	0.002275313	0	0.011376564	0	0.175767918	0	0.001137656	0.034698521	0	0.001137656	0.000568828	0.001706485	0	0.002844141	0.03185438	0.008532423	0	0	0	0.000568828	0
S58884	0.000471531	0.031121066	0	0	0	0	0.000707297	0	0	0	0	0.000235766	0	0	0	0.000943063	0.501355652	0	0.457621125	0	0	0.000589414	0.000353648	0	0	0	0	0	0	0	0	0	0	0.000117883	0	0	0.000471531	0	0	0	0.001886125	0	0	0.001060945	0	0	0.000117883	0	0	0	0	0	0	0	0.000117883	0	0
6806SB	0.000202092	0.854190876	0.001010458	0.117869954	0.020663871	0	0	0	0	0	0	0	0	0	0	0	0.000101046	0	0	5.05E-05	0	5.05E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.05E-05	5.05E-05	5.05E-05	0	0	0	0	0	0	0	0	5.05E-05	0	0	0	0	0	0
6806S1	4.11E-05	0.85286619	0	0.074512707	0.070606135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6806S2	5.53E-05	0.734150254	5.53E-05	0.232794866	0.027799292	0	2.77E-05	0	0	0	0	0.000691525	0	0	0	0.000636203	8.30E-05	0	0	0	5.53E-05	0.00027661	8.30E-05	0	0	0	0	0	0	0	0.000414915	0	8.30E-05	0.00027661	0	0	0	0	2.77E-05	0	0	0	0	0	0	8.30E-05	0	2.77E-05	0	0.000138305	2.77E-05	0	0	0	0	5.53E-05	0
