	group	category	axis1	axis2	mother_daughter	color	shape
80	L88951	XI	-0.233607	0.566681	mother	gray	24
81	L88952	XI	-0.223694	0.534738	mother	gray	24
82	L88953	XI	-0.238335	0.546001	mother	gray	24
83	L88954	XI	-0.20928	0.534309	mother	gray	24
84	L8895B	XI	-0.239223	0.55068	mother	gray	24
85	8911J1	XII	-0.139208	0.172025	daughter	#ffff99	21
86	8911J2	XII	-0.130424	0.173281	daughter	#ffff99	21
87	8911J4	XII	-0.127527	0.169315	daughter	#ffff99	21
88	8911JB	XII	-0.136298	0.167062	daughter	#ffff99	21
89	J63291	XII	-0.48278	-0.265606	mother	#ffff99	24
90	J63293	XII	-0.15576	0.297652	mother	#ffff99	24
91	J6329B	XII	-0.168154	0.304053	mother	#ffff99	24
92	4302P1	XIII	0.479423	-0.076459	daughter	#fb9a99	21
93	4302P2	XIII	0.47445	-0.076965	daughter	#fb9a99	21
94	4302P3	XIII	0.477203	-0.075238	daughter	#fb9a99	21
95	4302P4	XIII	0.477684	-0.075127	daughter	#fb9a99	21
96	4302PB	XIII	0.479817	-0.070525	daughter	#fb9a99	21
97	P89821	XIII	-0.149359	0.268664	mother	#fb9a99	24
98	P89822	XIII	-0.166185	0.30072	mother	#fb9a99	24
99	P89823	XIII	-0.147929	0.231431	mother	#fb9a99	24
100	P89824	XIII	-0.178693	0.173192	mother	#fb9a99	24
101	P8982B	XIII	-0.152635	0.257491	mother	#fb9a99	24
